,Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Price,Year,Types,City,Discount
967,2014 Hyundai Xcent BASE 1.2,MANUAL,88655,Petrol,2nd Owner,HR-26,7247,370699,2014,Hyundai,New Delhi,370699
968,2020 Hyundai GRAND I10 NIOS SPORTZ PETROL,MANUAL,30894,Petrol,1st Owner,GJ-27,12414,659899,2020,Hyundai,Ahmedabad,634999
969,2019 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,MANUAL,47353,Petrol,1st Owner,MP-04,9974,510199,2019,Hyundai,Indore,510199
970,2013 Renault Duster 85 PS RXL,MANUAL,80347,Diesel,1st Owner,MH-04-x-xxxx,10581,541199,2013,Renault,Bangalore,541199
971,2017 Mahindra Bolero POWER+ SLE,MANUAL,45095,Diesel,1st Owner,WB-02,11157,570699,2017,Mahindra,Kolkata,570699
972,2020 Tata ALTROZ XZ (O) 1.2 RTN,Manual,19175,Petrol,1st Owner,TS-08-x-xxxx,15628,799399,2020,Tata,Hyderabad,799399
973,2019 Honda Amaze 1.2 VX CVT I VTEC,AUTOMATIC,20620,Petrol,2nd Owner,KA-51-x-xxxx,15898,846579,2019,Honda,Bangalore,846579
974,2016 Honda City VX (O) PETROL,MANUAL,52882,Petrol,2nd Owner,TN-01-x-xxxx,13980,715099,2016,Honda,Chennai,715099
975,2021 Maruti New  Wagon-R 1.0 Lxi (o) cng,MANUAL,14926,Petrol + CNG,1st Owner,MH-09,13683,699899,2021,Maruti,Mumbai,699899
976,2018 Maruti Alto 800 LXI,MANUAL,3519,Petrol,1st Owner,WB-08,6583,336699,2018,Maruti,Kolkata,336699
977,2018 Maruti Swift LXI,MANUAL,22792,Petrol,1st Owner,GJ-01,10866,555799,2018,Maruti,Ahmedabad,555799
978,2018 Honda Amaze 1.2 VXMT I VTEC,MANUAL,77167,Petrol,1st Owner,UP-32-x-xxxx,12250,626599,2018,Honda,Lucknow,626599
979,2017 Maruti Celerio ZXI,MANUAL,39906,Petrol,2nd Owner,MH-02,7398,417799,2017,Maruti,Mumbai,378399
980,2022 Nissan MAGNITE XV EXECUTIVE,Manual,6567,Petrol,1st Owner,TS-07-x-xxxx,14911,776099,2022,Nissan,Hyderabad,762699
981,2018 Mahindra XUV500 W11 (O),MANUAL,40994,Diesel,1st Owner,KA-03-x-xxxx,33008,1775699,2018,Mahindra,Bangalore,1757699
982,2018 Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT,AUTOMATIC,57331,Petrol,1st Owner,TN-14-x-xxxx,16174,951899,2018,Volkswagen,Chennai,861299
983,2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,MANUAL,78081,Petrol,1st Owner,RJ-24,9869,504799,2017,Hyundai,Jaipur,504799
984,2016 Ford Ecosport 1.5 TITANIUM TI VCT,MANUAL,32763,Petrol,1st Owner,TN-07-x-xxxx,13290,679799,2016,Ford,Chennai,679799
985,2018 Renault Kwid RXT,MANUAL,17345,Petrol,1st Owner,DL-3C,7320,381499,2018,Renault,New Delhi,374399
986,2019 Jeep Compass 2.0 SPORT PLUS,MANUAL,77081,Diesel,1st Owner,TS-11-x-xxxx,24031,1501899,2019,Jeep,Hyderabad,1279699
987,2021 Hyundai NEW I20 ASTA 1.0 GDI DCT,Manual,5283,Petrol,1st Owner,RJ-06,21412,1170299,2021,Hyundai,Jaipur,1140199
988,2021 Renault Kiger RXL EASY R 1.0 L,Manual,9758,Petrol,1st Owner,MH-47,14252,753599,2021,Renault,Pune,728999
989,2019 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,AUTOMATIC,7277,Petrol,1st Owner,WB-26,18422,1060699,2019,Ford,Kolkata,980999
990,2019 Maruti Swift VXI,MANUAL,57877,Petrol,1st Owner,MP-04,11892,613299,2019,Maruti,Indore,608299
991,2020 Maruti Swift LXI,MANUAL,48621,Petrol,1st Owner,DL-5C,10602,561799,2020,Maruti,New Delhi,542299
992,2015 Hyundai Eon D LITE PLUS,MANUAL,22763,Petrol,1st Owner,MH-14,5945,304099,2015,Hyundai,Pune,304099
993,2016 Mahindra TUV300 T8,MANUAL,85252,Diesel,1st Owner,TN-02-x-xxxx,13754,703499,2016,Mahindra,Chennai,703499
994,2018 Jeep Compass LIMITED 2.0 4*4,MANUAL,74318,Diesel,1st Owner,RJ-45,28938,1595499,2018,Jeep,Jaipur,1540999
995,2020 Maruti Celerio ZXI AMT,AUTOMATIC,35415,Petrol,1st Owner,TN-12-x-xxxx,11742,605599,2020,Maruti,Chennai,600599
996,2020 Maruti Dzire VXI,MANUAL,22523,Petrol,1st Owner,RJ-02,14109,736199,2020,Maruti,Jaipur,721699
997,2016 Maruti Swift Dzire ZDI AMT,AUTOMATIC,96296,Diesel,1st Owner,KA-01-x-xxxx,13378,690199,2016,Maruti,Bangalore,684299
998,2020 Mahindra KUV 100 NXT K8 6 STR,MANUAL,26674,Petrol,1st Owner,DL-8C,13576,694399,2020,Mahindra,New Delhi,694399
999,2019 Hyundai Grand i10 MAGNA 1.2 VTVT,MANUAL,4190,Petrol,1st Owner,KA-51-x-xxxx,11691,611399,2019,Hyundai,Bangalore,597999
1000,2017 Hyundai Creta 1.6 SX (O) CRDI,MANUAL,84850,Diesel,1st Owner,RJ-14,20972,1125599,2017,Hyundai,Jaipur,1116799
1001,2019 Ford Ecosport 1.5 TITANIUM TI VCT,MANUAL,13793,Petrol,1st Owner,MH-14,15697,942499,2019,Ford,Pune,835899
1002,2018 Ford Ecosport 1.5 TITANIUM TI VCT,MANUAL,54501,Petrol,1st Owner,WB-06,12975,752399,2018,Ford,Kolkata,663699
1003,2011 Maruti Wagon R 1.0 VXI,MANUAL,43718,Petrol,2nd Owner,WB-24,4700,240399,2011,Maruti,Kolkata,240399
1004,2020 Ford Figo Aspire 1.2 TITANIUM+ PETROL,MANUAL,8254,Petrol,1st Owner,UP-32-x-xxxx,13683,783899,2020,Ford,Lucknow,699899
1005,2021 Maruti New  Wagon-R VXI 1.0,MANUAL,31540,Petrol,1st Owner,RJ-45,11495,587999,2021,Maruti,Jaipur,587999
1006,2019 Renault Kwid RXL,MANUAL,19549,Petrol,1st Owner,GJ-18,8264,422699,2019,Renault,Ahmedabad,422699
1007,2012 Honda City 1.5 E MT PETROL,MANUAL,81414,Petrol,1st Owner,MH-04,7689,420599,2012,Honda,Mumbai,393299
1008,2019 KIA SELTOS GTX 1.4 GDI AT PETROL,AUTOMATIC,61151,Petrol,1st Owner,GJ-05,24204,1412899,2019,KIA,Ahmedabad,1288899
1009,2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,MANUAL,74108,Petrol + CNG,1st Owner,GJ-27,9267,473999,2017,Hyundai,Ahmedabad,473999
1010,2019 Tata Tiago XT 1.2 REVOTRON,MANUAL,19512,Petrol,1st Owner,KL-11,8555,480899,2019,Tata,Kochi,437599
1011,2019 Maruti Swift LXI,MANUAL,28054,Petrol,1st Owner,DL-9C,9693,533399,2019,Maruti,New Delhi,495799
1012,2018 Renault Kwid CLIMBER 1.0,MANUAL,42192,Petrol,1st Owner,AP-21-x-xxxx,7712,411499,2018,Renault,Hyderabad,394449
1013,2019 Ford Ecosport 1.5  TITANIUM SPORTS(SUNROOF),MANUAL,39436,Diesel,1st Owner,KA-01-x-xxxx,19662,1081899,2019,Ford,Bangalore,1046999
1014,2011 Maruti Swift VXI,MANUAL,37071,Petrol,2nd Owner,KA-01-x-xxxx,7957,430299,2011,Maruti,Bangalore,406999
1015,2021 Honda Amaze 1.2 VX CVT I VTEC,AUTOMATIC,6189,Petrol,1st Owner,KL-07,17489,931299,2021,Honda,Kochi,931299
1016,2020 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,22460,Diesel,1st Owner,MH-06,17791,1003199,2020,Ford,Pune,947399
1017,2022 Renault Kiger RXZ 1.0 MT,Manual,5542,Petrol,1st Owner,KA-42-x-xxxx,18597,990299,2022,Renault,Bangalore,990299
1018,2021 Hyundai VENUE S MT 1.2 KAPPA,MANUAL,9299,Petrol,1st Owner,GJ-01,16122,906699,2021,Hyundai,Ahmedabad,858499
1019,2015 Volkswagen Polo HIGHLINE1.2L PETROL,MANUAL,56753,Petrol,2nd Owner,TN-02-x-xxxx,10311,532399,2015,Volkswagen,Chennai,527399
1020,2012 Hyundai i10 SPORTZ 1.2 AT KAPPA2,AUTOMATIC,72233,Petrol,3rd Owner,AP-09-x-xxxx,7447,393599,2012,Hyundai,Hyderabad,380899
1021,2019 MG HECTOR SHARP DCT PETROL,Manual,36659,Petrol,1st Owner,RJ-45,26364,1479899,2019,MG,Jaipur,1403899
1022,2019 Mahindra XUV500 W7 FWD,MANUAL,39818,Diesel,1st Owner,KA-05-x-xxxx,26967,1579099,2019,Mahindra,Bangalore,1435999
1023,2013 Maruti Ritz ZDI,MANUAL,85555,Diesel,2nd Owner,KA-01-x-xxxx,8856,475799,2013,Maruti,Bangalore,452999
1024,2015 Maruti Alto 800 LXI,MANUAL,17290,Petrol,2nd Owner,MH-14,5863,299899,2015,Maruti,Pune,299899
1025,2017 Maruti Alto K10 VXI,MANUAL,11962,Petrol,1st Owner,UP-32-x-xxxx,6870,374599,2017,Maruti,Lucknow,351399
1026,2018 Mahindra KUV 100 NXT K2 6 STR,MANUAL,8267,Petrol,1st Owner,KL-07,7374,384199,2018,Mahindra,Kochi,377199
1027,2021 Renault Kiger RXZ 1.0 TURBO MT,Manual,40609,Petrol,1st Owner,GJ-06,15320,808299,2021,Renault,Ahmedabad,783599
1028,2013 Maruti Ritz VXI,MANUAL,39615,Petrol,1st Owner,KA-04-x-xxxx,8669,443399,2013,Maruti,Bangalore,443399
1029,2020 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,AUTOMATIC,15344,Petrol,1st Owner,WB-08,17969,1025499,2020,Ford,Kolkata,956849
1030,2019 Tata Tiago XZ 1.2 REVOTRON,MANUAL,7831,Petrol,1st Owner,DL-2C,10180,520699,2019,Tata,New Delhi,520699
1031,2017 Maruti Celerio ZXI,MANUAL,6370,Petrol,1st Owner,WB-18,7640,397599,2017,Maruti,Kolkata,390799
1032,2017 Maruti Ertiga ZDI SHVS,MANUAL,242614,Diesel,1st Owner,RJ-02,13806,842199,2017,Maruti,Jaipur,706199
1033,2018 Honda City VX CVT PETROL,AUTOMATIC,20977,Petrol,1st Owner,UP-32-x-xxxx,18435,1028099,2018,Honda,Lucknow,981699
1034,2019 Renault Kwid RXL,MANUAL,31295,Petrol,1st Owner,MH-12,7844,406199,2019,Renault,Pune,401199
1035,2021 Maruti Baleno DELTA 1.2 K12,MANUAL,11931,Petrol,1st Owner,RJ-45,14365,749699,2021,Maruti,Jaipur,734799
